uri,id,name,popularity
spotify:track:1x6MXwyxf4R0V0Cdy4MnYl,1x6MXwyxf4R0V0Cdy4MnYl,Rose in the Dark,50
spotify:track:40ZUYrNTx4WAWN39VkrCOW,40ZUYrNTx4WAWN39VkrCOW,Stay Tru,53
spotify:track:22QiTJqDn1BIRSh4mkNJ5w,22QiTJqDn1BIRSh4mkNJ5w,Cherish the Day,62
spotify:track:2VjXGuPVVxyhMgER3Uz2Fe,2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,75
spotify:track:7sZCAHP2duHwr5M5K7lHsb,7sZCAHP2duHwr5M5K7lHsb,Selfish,63
spotify:track:1SyRNJfG1x58EFsWR8EM2k,1SyRNJfG1x58EFsWR8EM2k,Frontin' (feat. Jay-Z) - Club Mix,34
spotify:track:3A4cpTBPaIQdtPFb5JxtaX,3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,75
spotify:track:7pv80uUHfocFqfTytu1MVi,7pv80uUHfocFqfTytu1MVi,Didn't Cha Know,74
spotify:track:4G1qRhOk1YY0kewtMaCrMC,4G1qRhOk1YY0kewtMaCrMC,Rain,65
spotify:track:2P3SLxeQHPqh8qKB6gtJY2,2P3SLxeQHPqh8qKB6gtJY2,Poetic Justice,73
spotify:track:1fOkmYW3ZFkkjIdOZSf596,1fOkmYW3ZFkkjIdOZSf596,Pink Matter,77
spotify:track:0tNuJpBgtE65diL6Q8Q7fI,0tNuJpBgtE65diL6Q8Q7fI,On & On,71
spotify:track:1QJb6LWvPXZpTMiqqODqkH,1QJb6LWvPXZpTMiqqODqkH,Prototype,60
spotify:track:5VA4Ispp52EA1sOqzMz3Av,5VA4Ispp52EA1sOqzMz3Av,All I Want Is You (feat. J. Cole),75
spotify:track:6LGwYMXXgURfaequXipzHx,6LGwYMXXgURfaequXipzHx,You Don't Know My Name,69
spotify:track:593W4qZOwwdqF6YnimJjL6,593W4qZOwwdqF6YnimJjL6,Doves In The Wind (feat. Kendrick Lamar),72
spotify:track:3ppVO2tyWRRznNmONvt7Se,3ppVO2tyWRRznNmONvt7Se,Summers Over Interlude,75
spotify:track:3nXrCAE44KlevAkQB2XWcN,3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,74
spotify:track:6gdhHMWUv1pvkOHqCUGvCp,6gdhHMWUv1pvkOHqCUGvCp,One In A Million,70
